kind,stage,market_slug,market_title,outcome,settlement,pm_mid,pm_buy_ask,model_fair_prob,edge_pp,ev_pct,liquidity
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Colombia,reach final (advance incl ET/pens),0.101,0.103,0.1043,0.33,3.27,97403.7
outright,Win,world-cup-winner,World Cup Winner,Sweden,outright champion (incl ET/pens),0.0015,0.002,0.0044,0.29,194.67,10448458.3
r32_to_advance,R32,world-cup-dr-congo-stage-of-elimination,DR Congo to advance past R32 (M80 vs England),DR Congo advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.13,0.14,0.1328,0.28,2.12,32964.6
outright,Win,world-cup-winner,World Cup Winner,Switzerland,outright champion (incl ET/pens),0.0085,0.009,0.0112,0.27,31.76,5991318.4
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Switzerland,reach final (advance incl ET/pens),0.0295,0.033,0.0319,0.24,8.07,139780.5
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Senegal,reach final (advance incl ET/pens),0.0155,0.016,0.0175,0.2,12.77,83891.6
outright,Win,world-cup-winner,World Cup Winner,Australia,outright champion (incl ET/pens),0.0015,0.002,0.0033,0.18,118.67,12419919.7
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Austria,reach final (advance incl ET/pens),0.0085,0.014,0.0103,0.18,20.71,151845.1
outright,Win,world-cup-winner,World Cup Winner,Ecuador,outright champion (incl ET/pens),0.0055,0.006,0.007,0.15,27.27,5387385.7
outright,Win,world-cup-winner,World Cup Winner,Canada,outright champion (incl ET/pens),0.0025,0.003,0.0037,0.12,47.2,9739358.1
outright,Win,world-cup-winner,World Cup Winner,Austria,outright champion (incl ET/pens),0.0015,0.002,0.0025,0.1,64.0,6660465.6
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Egypt,reach SF (advance incl ET/pens),0.0355,0.04,0.0362,0.07,1.92,64986.9
outright,Win,world-cup-winner,World Cup Winner,Egypt,outright champion (incl ET/pens),0.0015,0.002,0.002,0.05,34.67,17903542.4
outright,Win,world-cup-winner,World Cup Winner,Algeria,outright champion (incl ET/pens),0.0015,0.002,0.0017,0.02,14.67,11505058.5
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,DR Congo,reach R16 = win R32 tie (advance incl ET/pens),0.13,0.14,0.1302,0.02,0.18,12446.6
outright,Win,world-cup-winner,World Cup Winner,Senegal,outright champion (incl ET/pens),0.0045,0.005,0.0044,-0.01,-1.33,6337590.1
outright,Win,world-cup-winner,World Cup Winner,Bosnia-Herzegovina,outright champion (incl ET/pens),0.0005,0.0005,0.0003,-0.02,-44.0,13706452.8
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Austria,reach SF (advance incl ET/pens),0.027,0.028,0.0268,-0.02,-0.89,95663.9
outright,Win,world-cup-winner,World Cup Winner,Ghana,outright champion (incl ET/pens),0.0005,0.0005,0.0001,-0.04,-76.0,18759402.3
outright,Win,world-cup-winner,World Cup Winner,Congo DR,outright champion (incl ET/pens),0.0005,0.0005,0.0001,-0.04,-76.0,22472914.9
outright,Win,world-cup-winner,World Cup Winner,Cape Verde,outright champion (incl ET/pens),0.0005,0.0005,0.0001,-0.04,-72.0,5701541.3
outright,Win,world-cup-winner,World Cup Winner,Netherlands,outright champion (incl ET/pens),0.0005,0.0005,0.0,-0.05,-100.0,1661745.8
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Australia,reach final (advance incl ET/pens),0.0115,0.014,0.0108,-0.07,-6.43,124922.1
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Cape Verde,reach final (advance incl ET/pens),0.0015,0.002,0.0008,-0.07,-44.0,62302.4
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Bosnia and Herzegovina,reach final (advance incl ET/pens),0.0035,0.006,0.0026,-0.09,-25.71,39933.9
outright,Win,world-cup-winner,World Cup Winner,Ivory Coast,outright champion (incl ET/pens),0.0035,0.004,0.0014,-0.21,-59.43,6477520.0
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Argentina,reach R16 = win R32 tie (advance incl ET/pens),0.92,0.93,0.917,-0.3,-0.33,58012.8
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,DR Congo,reach SF (advance incl ET/pens),0.0085,0.012,0.0049,-0.36,-42.82,87176.2
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Ivory Coast,reach final (advance incl ET/pens),0.0095,0.016,0.0056,-0.39,-40.63,89741.5
outright,Win,world-cup-winner,World Cup Winner,Morocco,outright champion (incl ET/pens),0.0405,0.041,0.0365,-0.4,-9.98,1302949.5
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,DR Congo,reach final (advance incl ET/pens),0.005,0.008,0.0007,-0.43,-85.2,39320.5
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,DR Congo,reach QF (advance incl ET/pens),0.038,0.04,0.0335,-0.45,-11.89,53887.1
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,England,reach R16 = win R32 tie (advance incl ET/pens),0.875,0.88,0.8698,-0.52,-0.6,37006.3
r32_to_advance,R32,world-cup-argentina-stage-of-elimination,Argentina to advance past R32 (M86 vs Cape Verde),Argentina advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.92,0.93,0.9147,-0.53,-0.58,37501.3
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Cape Verde,reach SF (advance incl ET/pens),0.013,0.019,0.0056,-0.74,-56.62,177717.9
outright,Win,world-cup-winner,World Cup Winner,Argentina,outright champion (incl ET/pens),0.1955,0.196,0.1874,-0.81,-4.15,8816191.4
outright,Win,world-cup-winner,World Cup Winner,Mexico,outright champion (incl ET/pens),0.016,0.017,0.0076,-0.84,-52.5,1964721.1
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Algeria,reach final (advance incl ET/pens),0.0165,0.017,0.0069,-0.96,-57.94,47821.1
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Egypt,reach final (advance incl ET/pens),0.0185,0.02,0.0081,-1.04,-56.22,124715.6
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Ghana,reach final (advance incl ET/pens),0.0115,0.016,0.001,-1.05,-91.48,102972.6
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Cape Verde,reach QF (advance incl ET/pens),0.0385,0.039,0.028,-1.05,-27.38,94124.5
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,England,reach QF (advance incl ET/pens),0.605,0.61,0.5937,-1.13,-1.86,259433.6
r32_to_advance,R32,world-cup-england-stage-of-elimination,England to advance past R32 (M80 vs DR Congo),England advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.88,0.89,0.8672,-1.28,-1.45,35085.3
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Portugal,reach QF (advance incl ET/pens),0.295,0.3,0.2819,-1.31,-4.43,86909.8
outright,Win,world-cup-winner,World Cup Winner,Portugal,outright champion (incl ET/pens),0.0625,0.063,0.0492,-1.33,-21.28,3569257.4
outright,Win,world-cup-winner,World Cup Winner,Norway,outright champion (incl ET/pens),0.0205,0.021,0.0054,-1.51,-73.85,1776583.3
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Switzerland,reach QF (advance incl ET/pens),0.305,0.31,0.2899,-1.51,-4.96,66490.7
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Portugal,reach final (advance incl ET/pens),0.125,0.13,0.1095,-1.55,-12.4,142829.4
outright,Win,world-cup-winner,World Cup Winner,England,outright champion (incl ET/pens),0.1015,0.102,0.0841,-1.74,-17.14,7308398.3
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Ghana,reach R16 = win R32 tie (advance incl ET/pens),0.195,0.2,0.1746,-2.04,-10.46,28663.3
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Spain,reach SF (advance incl ET/pens),0.435,0.44,0.4137,-2.13,-4.9,100121.5
outright,Win,world-cup-winner,World Cup Winner,USA,outright champion (incl ET/pens),0.0275,0.028,0.0042,-2.33,-84.73,3256250.4
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Ivory Coast,reach SF (advance incl ET/pens),0.0455,0.047,0.0219,-2.36,-51.82,61179.5
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Ghana,reach SF (advance incl ET/pens),0.033,0.034,0.0079,-2.51,-76.06,105336.3
r32_to_advance,R32,world-cup-switzerland-stage-of-elimination,Switzerland to advance past R32 (M85 vs Algeria),Switzerland advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.665,0.67,0.6382,-2.68,-4.02,8262.3
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Ivory Coast,reach QF (advance incl ET/pens),0.105,0.11,0.0724,-3.26,-31.01,81520.7
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,USA,reach final (advance incl ET/pens),0.052,0.053,0.0186,-3.34,-64.27,184136.5
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Senegal,reach SF (advance incl ET/pens),0.08,0.09,0.0463,-3.37,-42.08,29218.6
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Portugal,reach SF (advance incl ET/pens),0.225,0.23,0.19,-3.5,-15.57,93053.2
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Switzerland,reach R16 = win R32 tie (advance incl ET/pens),0.675,0.68,0.6392,-3.58,-5.3,29864.7
r32_to_advance,R32,world-cup-ghana-stage-of-elimination,Ghana to advance past R32 (M87 vs Colombia),Ghana advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.21,0.22,0.1725,-3.75,-17.85,6122.9
